searge,name,side,desc
func_110195_a,addGrowth,2,Increases this entity's age. If the entity is an adult (if the entity's age is greater than or equal to 0) then the entity's age will be set to {@link #forcedAge}. This method does not update {@link #forcedAge}.
func_110198_t,increaseTemper,2,
func_110199_f,openGUI,2,
func_110200_cJ,canMate,2,"Return true if the horse entity ready to mate. (no rider, not riding, tame, adult, not steril...)"
func_110201_q,getMouthOpennessAngle,0,
func_110202_bQ,getHorseVariant,2,
func_110203_cN,getModifiedMovementSpeed,2,Returns randomized movement speed
func_110204_cc,isEatingHaystack,2,
func_110205_ce,isBreeding,2,
func_110206_u,setJumpPower,0,
func_110207_m,setChested,2,
func_110208_b,setHorseWatchableBoolean,2,
func_110209_cd,isRearing,2,
func_110210_cH,moveTail,2,
func_110212_cp,getVariantTexturePaths,0,
func_110215_cj,getHorseJumpStrength,2,
func_110216_r,spawnHorseParticles,0,"""Spawns particles for the horse entity. par1 tells whether to spawn hearts. If it is false, it spawns smoke."""
func_110219_q,setRearing,2,
func_110220_cK,makeHorseRear,2,
func_110223_p,getRearingAmount,0,
func_110226_cD,initHorseChest,2,
func_110227_p,setEatingHaystack,2,
func_110230_cF,resetTexturePrefix,2,
func_110232_cE,updateHorseSlots,2,Updates the items in the saddle and armor slots of the horse's inventory.
func_110233_w,getHorseWatchableBoolean,2,
func_110234_j,setHorseTamed,2,
func_110235_q,setHorseVariant,2,
func_110237_h,mountTo,2,
func_110238_s,setTemper,2,
func_110242_l,setBreeding,2,
func_110245_cM,getModifiedJumpStrength,2,Returns randomized jump strength
func_110246_bZ,isHorseJumping,2,
func_110247_cG,setHorseTexturePaths,0,
func_110248_bS,isTame,2,
func_110249_cI,openHorseMouth,2,
func_110251_o,setHorseSaddled,2,
func_110252_cg,getTemper,2,
func_110255_k,setHorseJumping,2,
func_110257_ck,isHorseSaddled,2,
func_110258_o,getGrassEatingAmount,0,
func_110263_g,setTamedBy,2,
func_110264_co,getHorseTexture,0,
func_110266_cB,eatingHorse,2,
func_110267_cL,getModifiedMaxHealth,2,Returns randomized max health
func_110297_a_,verifySellingItem,2,"Notifies the merchant of a possible merchantrecipe being fulfilled or not. Usually, this is just a sound byte being played depending if the suggested itemstack is not null."
func_110303_q,getLocationCape,0,
func_110304_a,getDownloadImageSkin,0,
func_110306_p,getLocationSkin,0,Returns the ResourceLocation associated with the player's skin
func_110311_f,getLocationSkin,0,Returns true if the username has an associated skin.
func_110317_t,isRidingHorse,0,
func_110318_g,sendHorseJump,0,
func_110319_bJ,getHorseJumpPower,0,
func_110326_a,setOverlayMessage,0,
func_110430_a,setEntityActionState,2,
func_110432_I,getSession,0,
func_110434_K,getTextureManager,0,
func_110437_J,getProxy,0,
func_110455_j,getOpPermissionLevel,2,
func_110468_c,getFrameIndex,0,
func_110469_d,getFrameTime,0,
func_110472_a,getFrameTimeSingle,0,
func_110473_c,getFrameCount,0,
func_110479_a,getTextureBlur,0,
func_110480_b,getTextureClamp,0,
func_110483_a,getSectionName,0,The name of this section type as it appears in JSON.
func_110492_a,parseAnimationFrame,0,
func_110495_a,hasNoTime,0,
func_110496_c,getFrameIndex,0,
func_110497_b,getFrameTime,0,
func_110550_d,tick,0,
func_110552_b,getGlTextureId,0,
func_110564_a,updateDynamicTexture,0,
func_110577_a,bindTexture,0,
func_110578_a,getDynamicTextureLocation,0,
func_110623_a,getPath,2,
func_110624_b,getNamespace,2,
func_110646_a,getTextWithoutFormattingCodes,2,"Returns a copy of the given string, with formatting codes stripped away."
func_110647_a,getOSType,2,
func_110738_j,isRidingHorse,0,"Checks if the player is riding a horse, used to chose the GUI to open"
func_110775_a,getEntityTexture,0,Returns the location of an entity's texture.
func_110935_a,getCurrentWidth,0,
func_110936_b,getCurrentHeight,0,
func_110970_k,getFrameCount,0,
func_111104_a,setRandomEffect,2,
func_111108_a,getName,2,
func_111109_a,clampValue,2,
func_111110_b,getDefaultValue,2,
func_111111_c,getShouldWatch,2,
func_111112_a,setShouldWatch,2,
func_111116_f,getDescription,2,
func_111117_a,setDescription,2,
func_111121_a,applyModifier,2,
func_111123_a,getAttribute,2,Get the Attribute this is an instance of
func_111124_b,removeModifier,2,
func_111125_b,getBaseValue,2,
func_111126_e,getValue,2,
func_111127_a,getModifier,2,"Returns attribute modifier, if any, by the given UUID"
func_111128_a,setBaseValue,2,
func_111129_g,computeValue,2,
func_111131_f,flagForUpdate,2,
func_111146_a,getAllAttributes,2,
func_111147_b,applyAttributeModifiers,2,
func_111148_a,removeAttributeModifiers,2,
func_111150_b,registerAttribute,2,"Registers an attribute with this AttributeMap, returns a modifiable AttributeInstance associated with this map"
func_111151_a,getAttributeInstance,2,
func_111152_a,getAttributeInstanceByName,2,
func_111160_c,getWatchedAttributes,2,
func_111161_b,getDirtyInstances,2,
func_111164_d,getAmount,2,
func_111165_e,isSaved,2,@see #isSaved
func_111166_b,getName,2,
func_111167_a,getID,2,
func_111168_a,setSaved,2,@see #isSaved
func_111175_f,getTargetDistance,2,
func_111183_a,getAttributeModifierAmount,2,
func_111185_a,applyAttributesModifiersToEntity,2,
func_111186_k,getAttributeModifierMap,0,
func_111187_a,removeAttributesModifiersFromEntity,2,
func_111205_h,getAttributeModifiers,2,"Gets a map of item attribute modifiers, used by ItemSword to increase hit damage."
func_111207_a,itemInteractionForEntity,2,"Returns true if the item can be used on the given entity, e.g. shears on sheep."
func_111225_m,getRelevantEnchantmentTypes,2,Returns the enchantment types relevant to this tab
func_111226_a,hasRelevantEnchantmentType,2,
func_111229_a,setRelevantEnchantmentTypes,2,Sets the enchantment types for populating this tab with enchanting books
func_111238_b,isEnabled,0,"Actualy only call when we want to render the white square effect over the slots. Return always True, except for the armor slot of the Donkey/Mule (we can't interact with the Undead and Skeleton horses)"
func_111257_a,writeAttributes,2,
func_111258_a,readAttribute,2,
func_111259_a,readAttributeModifier,2,
func_111261_a,writeAttribute,2,
func_111262_a,writeAttributeModifier,2,
func_111270_a,union,2,
func_111282_a,interactWithEntity,2,
func_111283_C,getAttributeModifiers,2,Gets the attribute modifiers for this ItemStack.\nWill check for an NBT tag list containing modifiers for the stack.
func_111285_a,getUsername,0,
func_111286_b,getSessionID,0,
func_120011_ar,setGuiEnabled,2,
func_120018_d,getLogComponent,2,
func_120019_b,getStatsComponent,2,Generates new StatsComponent and returns it.
func_120020_c,getPlayerListComponent,2,Generates new PlayerListComponent and returns it.
func_120034_a,tick,2,
func_120035_a,mean,2,
func_130001_d,getCurrentMoonPhaseFactor,2,"gets the current fullness of the moon expressed as a float between 1.0 and 0.0, in steps of .25"
func_130011_c,setLastAttackedEntity,2,
func_130014_f_,getEntityWorld,2,"Get the world, if available. <b>{@code null} is not allowed!</b> If you are not an entity in the world, return the overworld"
func_130072_d,getAnimationFrame,0,
func_130073_e,getFrameIndexSet,0,
func_130098_m,hasAnimationMetadata,0,
func_130105_g,getMinecraftStartTimeMillis,2,Returns the saved value of System#currentTimeMillis when the game started
func_135016_M,getLanguageManager,0,
func_135018_a,getLanguages,0,
func_135021_a,loadLocaleData,0,
func_135023_a,formatMessage,0,"Calls String.format(translateKey(key), params)"
func_135026_c,translateKeyPrivate,0,"Returns the translation, or the key itself if the key could not be translated."
func_135028_a,loadLocaleData,0,Loads the locale data for the list of resources.
func_135035_b,isBidirectional,0,
func_135040_d,getLanguages,0,
func_135041_c,getCurrentLanguage,0,
func_135043_a,parseLanguageMetadata,0,
func_135044_b,isCurrentLanguageBidirectional,0,
func_135045_a,setCurrentLanguage,0,
func_135051_a,setLocale,0,
func_135052_a,format,0,"Translates the given string and then formats it. Equivilant to String.format(translate(key), parameters)."
func_135063_a,replaceWith,0,Replaces all the current instance's translations with the ones that are passed in.
func_135064_c,tryTranslateKey,2,Tries to look up a translation for the given key; spits back the key if no result was found.
func_135074_t,clearCustomName,2,Clear any custom name set for this ItemStack
func_140005_i,switchToRealms,0,
func_142008_O,shouldSetPosAfterLoading,2,
func_142013_aG,getLastAttackedEntityTime,2,
func_142015_aE,getRevengeTimer,2,
func_142017_o,onLeashDistance,2,
func_142018_a,shouldAttackEntity,2,
func_142021_k,getServerBrand,0,"Gets the brand of the currently connected server. May be null if the server hasn't yet sent brand information. Server brand information is sent over the {@code MC|Brand} plugin channel, and is used to identify modded servers in crash reports."
func_142049_d,removeAllModifiers,0,
func_142054_a,isSameTeam,2,Same as ==
func_143004_u,markPlayerActive,2,
func_143006_e,setPlayerIdleTimeout,2,
func_143007_ar,getMaxPlayerIdleMinutes,2,
func_143010_b,write,2,"Writes structure base data (id, boundingbox, {@link net.minecraft.world.gen.structure.StructureComponent#coordBaseMode coordBase} and {@link net.minecraft.world.gen.structure.StructureComponent#componentType componentType}) to new NBTTagCompound and returns it."
func_143011_b,readAdditional,2,(abstract) Helper method to read subclass data from NBT
func_143018_f,getChunkPosZ,2,
func_143019_e,getChunkPosX,2,
func_143021_a,write,2,
func_143025_a,getStructureName,2,
func_145747_a,sendMessage,0,Send a chat message to the CommandSender
func_145748_c_,getDisplayName,2,
func_145749_h,getLastOutput,2,Returns the lastOutput.
func_145750_b,setLastOutput,2,
func_145752_a,setCommand,2,Sets the command.
func_145753_i,getCommand,2,Returns the command of the command block.
func_145755_a,trigger,2,
func_145756_e,updateCommand,2,
func_145759_b,read,2,Reads NBT formatting and stored data into variables.
func_145760_g,getSuccessCount,2,returns the successCount int.
func_145769_d,setEntityId,2,
func_145770_h,isInRangeToRender3d,0,
func_145773_az,doesEntityNotTriggerPressurePlate,2,Return whether this entity should NOT trigger a pressure plate or a tripwire.
func_145775_I,doBlockCollisions,2,
func_145782_y,getEntityId,2,
func_145806_a,setHurtEntities,2,
func_145807_e,getWorldObj,0,
func_145818_k_,hasCustomName,2,
func_145822_e,getCommandBlockLogic,2,
func_145828_a,addInfoToCrashReport,2,
func_145829_t,validate,2,validates a tile entity
func_145830_o,hasWorld,2,Returns true if the worldObj isn't null.
func_145831_w,getWorld,2,Returns the worldObj for this tileEntity.
func_145833_n,getMaxRenderDistanceSquared,0,
func_145835_a,getDistanceSq,0,Returns the square of the distance between this entity and the passed in coordinates.
func_145836_u,updateContainingBlockInfo,2,
func_145837_r,isRemoved,2,
func_145839_a,read,2,
func_145842_c,receiveClientEvent,2,See {@link Block#eventReceived} for more information. This must return true serverside before it is called clientside.
func_145843_s,remove,2,invalidates a tile entity
func_145860_a,getProgress,2,Get interpolated progress value (between lastProgress and progress) given the fractional time between ticks as an argument
func_145866_f,clearPistonTileEntity,2,"removes a piston's tile entity (and if the piston is moving, stops it)"
func_145867_d,shouldPistonHeadBeRendered,2,
func_145868_b,isExtending,2,Returns true if a piston is extending
func_145881_a,getSpawnerBaseLogic,2,
func_145883_k,transferItemsOut,2,
func_145884_b,getSourceInventory,2,Gets the inventory that the provided hopper will transfer items from.
func_145888_j,isOnTransferCooldown,2,
func_145891_a,pullItems,2,Pull dropped {@link net.minecraft.entity.item.EntityItem EntityItem}s from the world above the hopper and items from any inventory attached to this hopper into the hopper's inventory.\n\n@param hopper the hopper in question\n@return whether any items were successfully added to the hopper
func_145893_b,getInventoryAtPosition,2,Returns the IInventory (if applicable) of the TileEntity at the specified position
func_145894_a,canCombine,2,
func_145895_l,getInventoryForHopperTransfer,2,Returns the IInventory that this hopper is pointing into
func_145896_c,setTransferCooldown,2,
func_145911_b,getPlayer,2,
func_145912_a,setPlayer,2,
func_145913_a,setEditable,0,Sets the sign's isEditable flag to the specified parameter.
func_145914_a,getIsEditable,2,
func_145934_k,canBrew,2,
func_145940_l,brewPotions,2,
func_145969_a,openChest,2,
func_145970_b,closeChest,2,
func_145971_a,canBeUsed,2,
func_145993_a,getCommandBlockLogic,2,
func_145995_a,setOutputSignal,2,
func_145996_a,getOutputSignal,2,
func_146000_x,addEffectsToPlayers,2,
func_146017_i,getDispenseSlot,2,
func_146019_a,addItemStack,2,Add the given ItemStack to this Dispenser. Return the Slot the Item was placed in or -1 if no free slot is available.
func_146031_a,setChestTileEntity,2,
func_146034_e,handleHookRetraction,2,
func_146065_b,dropItemOrSelf,2,
func_146066_aG,canDropLoot,2,Entity won't drop items or experience points if this returns false
func_146070_a,setBreakDoorsAItask,2,Sets or removes EntityAIBreakDoor task
func_146072_bX,isBreakDoorsTaskSet,2,
func_146077_cc,explode,2,Creates an explosion as determined by this creeper's power and explosion radius.
func_146078_ca,hasIgnited,2,
func_146079_cb,ignite,2,
func_146082_f,setInLove,2,
func_146094_a,getUUID,2,Gets a players UUID given their GameProfie
func_146097_a,dropItem,2,"Creates and drops the provided item. Depending on the dropAround, it will drop teh item around the player, instead of dropping the item from where the player is pointing at. Likewise, if traceItem is true, the dropped item entity will have the thrower set as the player."
func_146103_bH,getGameProfile,2,Returns the GameProfile for this player
func_146105_b,sendStatusMessage,0,
func_146107_m,getStats,0,
func_146140_b,setSelected,0,
func_146141_c,isSelected,0,
func_146158_b,getChatGUI,0,"returns a pointer to the persistant Chat GUI, containing all previous chat messages and such"
func_146175_b,deleteFromCursor,0,"Deletes the given number of characters from the current cursor's position, unless there is currently a selection, in which case the selection is deleted instead."
func_146176_q,getVisible,0,returns true if this textbox is visible
func_146177_a,deleteWords,0,"Deletes the given number of words from the current cursor's position, unless there is currently a selection, in which case the selection is deleted instead."
func_146178_a,tick,0,Increments the cursor counter
func_146179_b,getText,0,Returns the contents of the textbox
func_146180_a,setText,0,"Sets the text of the textbox, and moves the cursor to the end."
func_146181_i,getEnableBackgroundDrawing,0,Gets whether the background and outline of this text box should be drawn (true if so).
func_146182_d,moveCursorBy,0,Moves the text cursor by a specified number of characters and clears the selection
func_146183_a,getNthWordFromPos,0,Gets the starting index of the word at a distance of the specified number of words away from the given position.
func_146184_c,setEnabled,0,Sets whether this text box is enabled. Disabled text boxes cannot be typed in.
func_146185_a,setEnableBackgroundDrawing,0,Sets whether or not the background and outline of this text box should be drawn.
func_146187_c,getNthWordFromCursor,0,Gets the starting index of the word at the specified number of words away from the cursor position.
func_146188_c,drawSelectionBox,0,Draws the blue selection box.
func_146189_e,setVisible,0,Sets whether or not this textbox is visible
func_146190_e,setCursorPosition,0,Sets the current position of the cursor.
func_146191_b,writeText,0,"Adds the given text after the cursor, or replaces the currently selected text if there is a selection."
func_146193_g,setTextColor,0,Sets the color to use when drawing this text box's text. A different color is used if this text box is disabled.
func_146195_b,setFocused2,0,Sets focus to this gui element
func_146196_d,setCursorPositionZero,0,Moves the cursor to the very start of this text box.
func_146197_a,getNthWordFromPosWS,0,"Like getNthWordFromPos (which wraps this), but adds option for skipping consecutive spaces"
func_146198_h,getCursorPosition,0,returns the current position of the cursor
func_146199_i,setSelectionPos,0,"Sets the position of the selection anchor (the selection anchor and the cursor position mark the edges of the selection). If the anchor is set beyond the bounds of the current text, it will be put back inside."
func_146200_o,getAdjustedWidth,0,returns the width of the textbox depending on if background drawing is enabled
func_146202_e,setCursorPositionEnd,0,Moves the cursor to the very end of this text box.
func_146203_f,setMaxStringLength,0,"Sets the maximum length for the text in this text box. If the current text is longer than this length, the current text will be trimmed."
func_146204_h,setDisabledTextColour,0,Sets the color to use for text in this text box when this text box is disabled.
func_146205_d,setCanLoseFocus,0,Sets whether this text box loses focus when something other than it is clicked.
func_146207_c,getSelectedText,0,returns the text between the cursor and selectionEnd
func_146208_g,getMaxStringLength,0,returns the maximum number of character that can be contained in this textbox
func_146227_a,printChatMessage,0,
func_146228_f,getChatWidth,0,
func_146230_a,render,0,
func_146231_a,clearChatMessages,0,Clears the chat.\n \n@param clearSentMsgHistory Whether or not to clear the user's sent message history
func_146232_i,getLineCount,0,
func_146234_a,printChatMessageWithOptionalDeletion,0,"prints the ChatComponent to Chat. If the ID is not 0, deletes an existing Chat Line of that ID from the GUI"
func_146237_a,setChatLine,0,
func_146238_c,getSentMessages,0,Gets the list of messages previously sent through the chat GUI
func_146239_a,addToSentMessages,0,"Adds this string to the list of sent messages, for recall using the up/down arrow keys"
func_146240_d,resetScroll,0,"Resets the chat scroll (executed when the GUI is closed, among others)"
func_146241_e,getChatOpen,0,Returns true if the chat GUI is open
func_146242_c,deleteChatLine,0,finds and deletes a Chat line by ID
func_146245_b,refreshChat,0,
func_146246_g,getChatHeight,0,
func_146314_g,calcSaveDirName,0,Determine a save-directory name from the world name
func_146315_i,toggleMoreWorldOptions,0,"Toggles between initial world-creation display, and ""more options"" display.\nCalled when user clicks ""More World Options..."" or ""Done"" (same button, different labels depending on current display)."
func_146316_a,showMoreWorldOptions,0,"Shows additional world-creation options if toggle is true, otherwise shows main world-creation elements"
func_146318_a,recreateFromExistingWorld,0,"Set the initial values of a new world to create, from the values from an existing world.\n \nCalled after construction when a user selects the ""Recreate"" button."
func_146350_a,setButtonDelay,0,Sets the number of ticks to wait before enabling the buttons.
func_146359_e,copyLinkToClipboard,0,Copies the link to the system clipboard.
func_146367_a,connect,0,
func_146375_g,onLayersChanged,0,"Would update whether or not the edit and remove buttons are enabled, but is currently disabled and always disables the buttons (which are invisible anyways)"
func_146382_i,hasSelectedLayer,0,Returns whether there is a valid layer selection
func_146402_a,getSentHistory,0,"input is relative and is applied directly to the sentHistoryCursor so -1 is the previous message, 1 is the next message from the current cursor position"
func_146418_g,wakeFromSleep,0,
func_146521_a,drawStatsScreen,0,
func_146527_c,drawSprite,0,Draws a sprite from assets/textures/gui/container/stats_icons.png
func_146574_g,sendRespawnPacket,0,
func_146575_b,drawWinGameScreen,0,
func_146586_a,setDoneWorking,0,
func_146595_g,updateDisplayNames,0,
func_146789_i,getOldServerPinger,0,
func_146791_a,connectToServer,0,
func_146792_q,refreshServerList,0,
func_146793_a,setHoveringText,0,
func_146795_p,getServerList,0,
func_146796_h,connectToSelected,0,
func_146976_a,drawGuiContainerBackgroundLayer,0,Draws the background layer of this container (behind the items).
func_146977_a,drawSlot,0,"Draws the given slot: any item in it, the slot's background, the hovered highlight, etc."
func_146979_b,drawGuiContainerForegroundLayer,0,Draw the foreground layer for the GuiContainer (everything in front of the items)
func_146980_g,updateDragSplitting,0,
func_146982_a,drawItemStack,0,"Draws an ItemStack.\n \nThe z index is increased by 32 (and not decreased afterwards), and the item is then rendered at z=200."
func_147044_g,drawActivePotionEffects,0,Display the potion effects list
func_147050_b,setCurrentCreativeTab,0,"Sets the current creative tab, restructuring the GUI as needed."
func_147051_a,drawTab,0,"Draws the given tab and its background, deciding whether to highlight the tab or not based off of the selected index."
func_147052_b,renderCreativeInventoryHoveringText,0,"Renders the creative inventory hovering text if mouse is over it. Returns true if did render or false otherwise. Params: current creative tab to be checked, current mouse x position, current mouse y position."
func_147053_i,updateCreativeSearch,0,
func_147055_p,needsScrollBars,0,returns (if you are not on the inventoryTab) and (the flag isn't set) and (you have more than 1 page of items)
func_147056_g,getSelectedTabIndex,0,Returns the index of the currently selected tab.
func_147068_g,tickBook,0,
func_147096_v,getChatVisibility,2,
func_147097_b,sendTileEntityUpdate,2,
func_147099_x,getStats,2,
func_147100_a,handleClientSettings,2,
func_147104_D,getCurrentServerData,0,
func_147108_a,displayGuiScreen,0,"Sets the argument GuiScreen as the main (topmost visible) screen.\n \n<p><strong>WARNING</strong>: This method is not thread-safe. Opening GUIs from a thread other than the main thread may cause many different issues, including the GUI being rendered before it has initialized (leading to unusual crashes). If on a thread other than the main thread, use {@link #execute}:\n \n<pre>\nminecraft.execute(() -> minecraft.displayGuiScreen(gui));\n</pre>"
func_147109_W,getAmbientMusicType,0,
func_147110_a,getFramebuffer,0,
func_147111_S,isJava64bit,0,
func_147112_ai,middleClickMouse,0,Called when user clicked he's mouse middle button (pick block)
func_147113_T,isGamePaused,0,
func_147114_u,getConnection,0,
func_147115_a,sendClickBlockToController,0,
func_147116_af,clickMouse,0,
func_147118_V,getSoundHandler,0,
func_147121_ag,rightClickMouse,0,Called when user clicked he's mouse right button (place)
func_147122_X,isJvm64bit,0,
func_147130_as,getMinecraftSessionService,2,
func_147132_au,refreshStatusNextTick,2,
func_147133_T,getResourcePackUrl,2,
func_147134_at,getServerStatusResponse,2,
func_147135_j,getDifficulty,0,Get the server's difficulty
func_147137_ag,getNetworkSystem,2,
func_147139_a,setDifficultyForAllWorlds,2,
func_147149_a,saveToFile,2,Saves this CrashReport to the given file and returns a value indicating whether we were successful at doing so.
func_147152_a,getStackTrace,2,
func_147223_a,pingPendingNetworks,0,
func_147224_a,ping,0,
func_147225_b,tryCompatibilityPing,0,
func_147226_b,clearPendingNetworks,0,
func_147231_a,onDisconnect,2,"Invoked when disconnecting, the parameter is a ChatComponent describing the reason for termination"
func_147234_a,handleBlockChange,2,Updates the block and metadata and generates a blockupdate (and notify the clients)
func_147235_a,handleSpawnObject,0,Spawns an instance of the objecttype indicated by the packet and sets its position and momentum
func_147236_a,handleEntityStatus,0,"Invokes the entities' handleUpdateHealth method which is implemented in LivingBase (hurt/death), MinecartMobSpawner (spawn delay), FireworkRocket & MinecartTNT (explosion), IronGolem (throwing,...), Witch (spawn particles), Zombie (villager transformation), Animal (breeding mode particles), Horse (breeding/smoke particles), Sheep (...), Tameable (...), Villager (particles for breeding mode, angry and happy), Wolf (...)"
func_147237_a,handleSpawnPlayer,0,"Handles the creation of a nearby player entity, sets the position and held item"
func_147238_a,handleDestroyEntities,0,"Locally eliminates the entities. Invoked by the server when the items are in fact destroyed, or the player is no longer registered as required to monitor them. The latter  happens when distance between the player and item increases beyond a certain treshold (typically the viewing distance)"
func_147239_a,handleConfirmTransaction,0,Verifies that the server and client are synchronized with respect to the inventory/container opened by the player and confirms if it is the case.
func_147240_a,handleCustomPayload,0,"Handles packets that have room for a channel specification. Vanilla implemented channels are ""MC|TrList"" to acquire a MerchantRecipeList trades for a villager merchant, ""MC|Brand"" which sets the server brand? on the player instance and finally ""MC|RPack"" which the server uses to communicate the identifier of the default server resourcepack for the client to load."
func_147241_a,handleWindowItems,0,Handles the placement of a specified ItemStack in a specified container/inventory slot
func_147242_a,handleEntityEquipment,2,
func_147243_a,handleEntityAttach,0,
func_147244_a,handleEntityVelocity,0,Sets the velocity of the specified entity to the specified value
func_147245_a,handleWindowProperty,0,Sets the progressbar of the opened window to the specified value
func_147246_a,handleCollectItem,2,
func_147247_a,handleTeams,2,"Updates a team managed by the scoreboard: Create/Remove the team registration, Register/Remove the player-team-memberships, Set team displayname/prefix/suffix and/or whether friendly fire is enabled"
func_147249_a,handleUpdateHealth,0,
func_147250_a,handleUpdateScore,2,Either updates the score with a specified value or removes the score for an objective
func_147251_a,handleChat,0,Prints a chatmessage in the chat GUI
func_147252_a,handleChangeGameState,2,
func_147253_a,handleDisconnect,2,Closes the network channel
func_147254_a,handleDisplayObjective,2,"Removes or sets the ScoreObjective to be displayed at a particular scoreboard position (list, sidebar, below name)"
func_147256_a,handlePlayerListItem,2,
func_147257_a,handleHeldItemChange,0,Updates which hotbar slot of the player is currently selected
func_147259_a,handleEntityMovement,2,"Updates the specified entity's position by the specified relative moment and absolute rotation. Note that subclassing of the packet allows for the specification of a subset of this data (e.g. only rel. position, abs. rotation or both)."
func_147260_a,handleEntityEffect,2,
func_147261_a,handleBlockAction,0,"Triggers Block.onBlockEventReceived, which is implemented in BlockPistonBase for extension/retraction, BlockNote for setting the instrument (including audiovisual feedback) and in BlockContainer to set the number of players accessing a (Ender)Chest"
func_147262_a,handleRemoveEntityEffect,2,
func_147263_a,handleChunkData,2,"Updates the specified chunk with the supplied data, marks it for re-rendering and lighting recalculation"
func_147264_a,handleMaps,2,Updates the worlds MapStorage with the specified MapData for the specified map-identifier and invokes a MapItemRenderer for it
func_147266_a,handleSetSlot,0,Handles pickin up an ItemStack or dropping one in your inventory or an open (non-creative) container
func_147267_a,handleEntityHeadLook,0,"Updates the direction in which the specified entity is looking, normally this head rotation is independent of the rotation of the entity itself"
func_147268_a,handleSignEditorOpen,0,Creates a sign in the specified location if it didn't exist and opens the GUI to edit its text
func_147270_a,handlePlayerAbilities,0,
func_147271_a,handleSpawnPosition,0,
func_147272_a,handleKeepAlive,2,
func_147273_a,handleUpdateTileEntity,0,"Updates the NBTTagCompound metadata of instances of the following entitytypes: Mob spawners, command blocks, beacons, skulls, flowerpot"
func_147275_a,handleEntityTeleport,2,Updates an entity's position and rotation as specified by the packet
func_147276_a,handleCloseWindow,0,Resets the ItemStack held in hand and closes the window that is opened
func_147277_a,handleEffect,0,
func_147279_a,handleAnimation,2,"Renders a specified animation: Waking up a player, a living entity swinging its currently held item, being hurt or receiving a critical hit by normal or magical means"
func_147280_a,handleRespawn,2,
func_147281_a,handleSpawnMob,2,"Spawns the mob entity at the specified location, with the specified rotation, momentum and type. Updates the entities Datawatchers with the entity metadata specified in the packet"
func_147282_a,handleJoinGame,0,"Registers some server properties (gametype,hardcore-mode,terraintype,difficulty,player limit), creates a new WorldClient and sets the player initial dimension"
func_147283_a,handleExplosion,2,"Initiates a new explosion (sound, particles, drop spawn) for the affected blocks indicated by the packet."
func_147284_a,handleEntityMetadata,0,Invoked when the server registers new proximate objects in your watchlist or when objects in your watchlist have changed -> Registers any changes locally
func_147285_a,handleTimeUpdate,2,
func_147286_a,handleSpawnExperienceOrb,2,Spawns an experience orb and sets its value (amount of XP)
func_147287_a,handleMultiBlockChange,0,"Received from the servers PlayerManager if between 1 and 64 blocks in a chunk are changed. If only one block requires an update, the server sends S23PacketBlockChange and if 64 or more blocks are changed, the server sends S21PacketChunkData"
func_147288_a,handleSpawnPainting,0,Handles the spawning of a painting object
func_147289_a,handleParticles,0,Spawns a specified number of particles at the specified location with a randomized displacement according to specified bounds
func_147290_a,handleEntityProperties,2,"Updates en entity's attributes and their respective modifiers, which are used for speed bonusses (player sprinting, animals fleeing, baby speed), weapon/tool attackDamage, hostiles followRange randomization, zombie maxHealth and knockback resistance as well as reinforcement spawning chance."
func_147291_a,handleScoreboardObjective,0,"May create a scoreboard objective, remove an objective from the scoreboard or update an objectives' displayname"
func_147292_a,handleSpawnGlobalEntity,2,Handles globally visible entities. Used in vanilla for lightning bolts
