searge,name,side,desc,class
field_110283_bJ,eatAnim,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110284_bK,eatAnimO,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110285_bP,gallopSoundCounter,2,Used to determine the sound that the horse should make when it steps,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110287_bN,mouthAnim,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110288_bO,mouthAnimO,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110290_bE,mouthCounter,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110294_bI,allowStandSliding,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110295_bF,standCounter,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110296_bG,inventory,2,,net/minecraft/entity/passive/horse/AbstractHorseEntity
field_110320_a,jumpRidingTicks,0,,net/minecraft/client/entity/player/ClientPlayerEntity
field_110321_bQ,jumpRidingScale,0,,net/minecraft/client/entity/player/ClientPlayerEntity
field_110328_d,PUMPKIN_BLUR_LOCATION,0,,net/minecraft/client/gui/IngameGui
field_110329_b,VIGNETTE_LOCATION,0,,net/minecraft/client/gui/IngameGui
field_110330_c,WIDGETS_LOCATION,0,,net/minecraft/client/gui/IngameGui
field_110352_y,MINECRAFT_LOGO,0,,net/minecraft/client/gui/screen/MainMenuScreen
field_110447_Z,launchedVersion,0,,net/minecraft/client/Minecraft
field_110448_aq,resourcePackRepository,0,,net/minecraft/client/Minecraft
field_110451_am,resourceManager,0,,net/minecraft/client/Minecraft
field_110453_aa,proxy,0,,net/minecraft/client/Minecraft
field_110456_c,proxy,2,,net/minecraft/server/MinecraftServer
field_110475_d,defaultFrameTime,0,,net/minecraft/client/resources/data/AnimationMetadataSection
field_110476_b,frameWidth,0,,net/minecraft/client/resources/data/AnimationMetadataSection
field_110477_c,frameHeight,0,,net/minecraft/client/resources/data/AnimationMetadataSection
field_110478_a,frames,0,,net/minecraft/client/resources/data/AnimationMetadataSection
field_110481_b,clamp,0,,net/minecraft/client/resources/data/TextureMetadataSection
field_110482_a,blur,0,,net/minecraft/client/resources/data/TextureMetadataSection
field_110498_b,time,0,,net/minecraft/client/resources/data/AnimationFrame
field_110499_a,index,0,,net/minecraft/client/resources/data/AnimationFrame
field_110553_a,id,0,,net/minecraft/client/renderer/texture/Texture
field_110559_g,uploaded,0,,net/minecraft/client/renderer/texture/DownloadingTexture
field_110562_b,urlString,0,,net/minecraft/client/renderer/texture/DownloadingTexture
field_110566_b,pixels,0,,net/minecraft/client/renderer/texture/DynamicTexture
field_110568_b,location,0,,net/minecraft/client/renderer/texture/SimpleTexture
field_110575_b,LOCATION_BLOCKS,0,,net/minecraft/client/renderer/texture/AtlasTexture
field_110582_d,resourceManager,0,,net/minecraft/client/renderer/texture/TextureManager
field_110583_b,tickableTextures,0,,net/minecraft/client/renderer/texture/TextureManager
field_110584_c,prefixRegister,0,,net/minecraft/client/renderer/texture/TextureManager
field_110585_a,byPath,0,,net/minecraft/client/renderer/texture/TextureManager
field_110625_b,path,2,,net/minecraft/util/ResourceLocation
field_110626_a,namespace,2,,net/minecraft/util/ResourceLocation
field_110723_a,knot,0,,net/minecraft/client/renderer/entity/model/LeashKnotModel
field_110782_f,BOAT_TEXTURE_LOCATIONS,0,,net/minecraft/client/renderer/entity/BoatRenderer
field_110785_a,EXPERIENCE_ORB_LOCATION,0,,net/minecraft/client/renderer/entity/ExperienceOrbRenderer
field_110787_a,END_CRYSTAL_LOCATION,0,,net/minecraft/client/renderer/entity/EnderCrystalRenderer
field_110798_h,ENCHANT_GLINT_LOCATION,0,,net/minecraft/client/renderer/ItemRenderer
field_110801_f,model,0,,net/minecraft/client/renderer/entity/LeashKnotRenderer
field_110802_a,KNOT_LOCATION,0,,net/minecraft/client/renderer/entity/LeashKnotRenderer
field_110804_g,MINECART_LOCATION,0,,net/minecraft/client/renderer/entity/MinecartRenderer
field_110810_f,WITHER_LOCATION,0,,net/minecraft/client/renderer/entity/WitherSkullRenderer
field_110811_a,WITHER_INVULNERABLE_LOCATION,0,,net/minecraft/client/renderer/entity/WitherSkullRenderer
field_110830_f,CREEPER_LOCATION,0,,net/minecraft/client/renderer/entity/CreeperRenderer
field_110833_a,COW_LOCATION,0,,net/minecraft/client/renderer/entity/CowRenderer
field_110835_a,BAT_LOCATION,0,,net/minecraft/client/renderer/entity/BatRenderer
field_110837_a,BLAZE_LOCATION,0,,net/minecraft/client/renderer/entity/BlazeRenderer
field_110839_f,ENDERMAN_LOCATION,0,,net/minecraft/client/renderer/entity/EndermanRenderer
field_110842_f,DRAGON_EXPLODING_LOCATION,0,,net/minecraft/client/renderer/entity/EnderDragonRenderer
field_110843_g,CRYSTAL_BEAM_LOCATION,0,,net/minecraft/client/renderer/entity/EnderDragonRenderer
field_110844_k,DRAGON_LOCATION,0,,net/minecraft/client/renderer/entity/EnderDragonRenderer
field_110861_l,WITHER_SKELETON_LOCATION,0,,net/minecraft/client/renderer/entity/WitherSkeletonRenderer
field_110862_k,SKELETON_LOCATION,0,,net/minecraft/client/renderer/entity/SkeletonRenderer
field_110864_q,ZOMBIE_VILLAGER_LOCATION,0,,net/minecraft/client/renderer/entity/ZombieVillagerRenderer
field_110868_f,GHAST_SHOOTING_LOCATION,0,,net/minecraft/client/renderer/entity/GhastRenderer
field_110869_a,GHAST_LOCATION,0,,net/minecraft/client/renderer/entity/GhastRenderer
field_110871_a,ZOMBIE_LOCATION,0,,net/minecraft/client/renderer/entity/GiantZombieRenderer
field_110873_a,MAGMACUBE_LOCATION,0,,net/minecraft/client/renderer/entity/MagmaCubeRenderer
field_110875_f,CAT_OCELOT_LOCATION,0,,net/minecraft/client/renderer/entity/OcelotRenderer
field_110882_a,SILVERFISH_LOCATION,0,,net/minecraft/client/renderer/entity/SilverfishRenderer
field_110884_f,SHEEP_LOCATION,0,,net/minecraft/client/renderer/entity/SheepRenderer
field_110887_f,PIG_LOCATION,0,,net/minecraft/client/renderer/entity/PigRenderer
field_110890_f,SPIDER_LOCATION,0,,net/minecraft/client/renderer/entity/SpiderRenderer
field_110893_a,CAVE_SPIDER_LOCATION,0,,net/minecraft/client/renderer/entity/CaveSpiderRenderer
field_110895_a,SNOW_GOLEM_LOCATION,0,,net/minecraft/client/renderer/entity/SnowManRenderer
field_110897_a,SLIME_LOCATION,0,,net/minecraft/client/renderer/entity/SlimeRenderer
field_110899_a,GOLEM_LOCATION,0,,net/minecraft/client/renderer/entity/IronGolemRenderer
field_110901_a,SQUID_LOCATION,0,,net/minecraft/client/renderer/entity/SquidRenderer
field_110910_a,WITCH_LOCATION,0,,net/minecraft/client/renderer/entity/WitchRenderer
field_110912_f,WITHER_LOCATION,0,,net/minecraft/client/renderer/entity/WitherRenderer
field_110913_a,WITHER_INVULNERABLE_LOCATION,0,,net/minecraft/client/renderer/entity/WitherRenderer
field_110915_f,WOLF_TAME_LOCATION,0,,net/minecraft/client/renderer/entity/WolfRenderer
field_110916_g,WOLF_ANGRY_LOCATION,0,,net/minecraft/client/renderer/entity/WolfRenderer
field_110917_a,WOLF_LOCATION,0,,net/minecraft/client/renderer/entity/WolfRenderer
field_110920_a,CHICKEN_LOCATION,0,,net/minecraft/client/renderer/entity/ChickenRenderer
field_110925_j,CLOUDS_LOCATION,0,,net/minecraft/client/renderer/WorldRenderer
field_110926_k,END_SKY_LOCATION,0,,net/minecraft/client/renderer/WorldRenderer
field_110927_h,MOON_LOCATION,0,,net/minecraft/client/renderer/WorldRenderer
field_110928_i,SUN_LOCATION,0,,net/minecraft/client/renderer/WorldRenderer
field_110973_g,frame,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_110974_d,y,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_110975_c,x,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_110977_n,v0,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_110978_o,v1,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_110979_l,u0,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_110980_m,u1,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_110982_k,metadata,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_110983_h,subFrame,0,,net/minecraft/client/renderer/texture/TextureAtlasSprite
field_111020_b,isNeedingChest,2,,net/minecraft/world/gen/feature/structure/FortressPieces$Corridor2
field_111021_b,isNeedingChest,2,,net/minecraft/world/gen/feature/structure/FortressPieces$Corridor
field_111053_a,UNSUPPORTED_FORMAT_PATTERN,2,"Pattern that matches numeric variable placeholders in a resource string, such as ""%d"", ""%3$d"", ""%.2f""",net/minecraft/util/text/LanguageMap
field_111118_b,maxValue,2,,net/minecraft/entity/ai/attributes/RangedAttribute
field_111120_a,minValue,2,,net/minecraft/entity/ai/attributes/RangedAttribute
field_111135_e,permanentModifiers,2,,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance
field_111136_b,attribute,2,The Attribute this is an instance of,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance
field_111137_c,modifiersByOperation,2,,net/minecraft/entity/ai/attributes/ModifiableAttributeInstance
field_111170_d,id,2,,net/minecraft/entity/ai/attributes/AttributeModifier
field_111172_b,operation,2,,net/minecraft/entity/ai/attributes/AttributeModifier
field_111173_c,nameGetter,2,,net/minecraft/entity/ai/attributes/AttributeModifier
field_111174_a,amount,2,,net/minecraft/entity/ai/attributes/AttributeModifier
field_111176_d,posY,2,,net/minecraft/entity/ai/goal/RunAroundLikeCrazyGoal
field_111177_e,posZ,2,,net/minecraft/entity/ai/goal/RunAroundLikeCrazyGoal
field_111178_b,speedModifier,2,,net/minecraft/entity/ai/goal/RunAroundLikeCrazyGoal
field_111179_c,posX,2,,net/minecraft/entity/ai/goal/RunAroundLikeCrazyGoal
field_111180_a,horse,2,,net/minecraft/entity/ai/goal/RunAroundLikeCrazyGoal
field_111188_I,attributeModifiers,2,Contains a Map of the AttributeModifiers registered by potions,net/minecraft/potion/Effect
field_111204_q,inhabitedTime,2,the cumulative number of ticks players have been in this chunk,net/minecraft/world/chunk/Chunk
field_111210_e,BASE_ATTACK_DAMAGE_UUID,2,,net/minecraft/item/Item
field_111230_s,enchantmentCategories,2,,net/minecraft/item/ItemGroup
field_111242_f,horse,2,,net/minecraft/inventory/container/HorseInventoryContainer
field_111243_a,horseContainer,2,,net/minecraft/inventory/container/HorseInventoryContainer
field_111284_a,ATTRIBUTE_MODIFIER_FORMAT,2,,net/minecraft/item/ItemStack
field_120014_b,tickCount,2,,net/minecraft/server/gui/PlayerListComponent
field_120015_a,server,2,,net/minecraft/server/gui/PlayerListComponent
field_120021_b,server,2,,net/minecraft/server/gui/MinecraftServerGui
field_120036_d,msgs,2,,net/minecraft/server/gui/StatsComponent
field_120037_e,server,2,,net/minecraft/server/gui/StatsComponent
field_120038_b,values,2,,net/minecraft/server/gui/StatsComponent
field_120039_c,vp,2,,net/minecraft/server/gui/StatsComponent
field_120040_a,DECIMAL_FORMAT,2,,net/minecraft/server/gui/StatsComponent
field_130068_bO,lastRecordedHealthAndAbsorption,2,"the total health of the player, includes actual health and absorption health. Updated every tick.",net/minecraft/entity/player/ServerPlayerEntity
field_130070_K,resourcePackDirectory,0,,net/minecraft/client/Minecraft
field_130078_a,LOCATION,0,,net/minecraft/client/resources/GrassColorReloadListener
field_130079_a,LOCATION,0,,net/minecraft/client/resources/FoliageColorReloadListener
field_135017_as,languageManager,0,,net/minecraft/client/Minecraft
field_135019_a,languages,0,,net/minecraft/client/resources/data/LanguageMetadataSection
field_135036_d,bidirectional,0,,net/minecraft/client/resources/Language
field_135037_b,region,0,,net/minecraft/client/resources/Language
field_135038_c,name,0,,net/minecraft/client/resources/Language
field_135039_a,code,0,,net/minecraft/client/resources/Language
field_135046_d,languages,0,,net/minecraft/client/resources/LanguageManager
field_135048_c,currentCode,0,,net/minecraft/client/resources/LanguageManager
field_142016_bo,lastHurtMobTimestamp,2,Holds the value of ticksExisted when setLastAttacker was last called.,net/minecraft/entity/LivingEntity
field_142022_ce,serverBrand,0,,net/minecraft/client/entity/player/ClientPlayerEntity
field_142025_a,ON_OSX,0,,net/minecraft/client/Minecraft
field_142048_a,isBaby,2,,net/minecraft/entity/monster/ZombieEntity$GroupData
field_142050_e,timestamp,2,,net/minecraft/entity/ai/goal/OwnerHurtTargetGoal
field_142051_e,timestamp,2,,net/minecraft/entity/ai/goal/OwnerHurtByTargetGoal
field_142052_b,timestamp,2,Store the previous revengeTimer value,net/minecraft/entity/ai/goal/HurtByTargetGoal
field_143005_bX,lastActionTime,2,,net/minecraft/entity/player/ServerPlayerEntity
field_143008_E,playerIdleTimeout,2,,net/minecraft/server/MinecraftServer
field_143013_d,entryDoor,2,,net/minecraft/world/gen/feature/structure/StrongholdPieces$Stronghold
field_143023_d,chunkZ,2,,net/minecraft/world/gen/feature/structure/StructureStart
field_143024_c,chunkX,2,,net/minecraft/world/gen/feature/structure/StructureStart
field_145761_f,name,2,"The custom name of the command block. (defaults to ""@"")",net/minecraft/tileentity/CommandBlockLogic
field_145762_d,lastOutput,2,The previously run command.,net/minecraft/tileentity/CommandBlockLogic
field_145763_e,command,2,The command stored in the command block.,net/minecraft/tileentity/CommandBlockLogic
field_145764_b,successCount,2,The number of successful commands run. (used for redstone output),net/minecraft/tileentity/CommandBlockLogic
field_145765_c,trackOutput,2,,net/minecraft/tileentity/CommandBlockLogic
field_145766_a,TIME_FORMAT,2,The formatting for the timestamp on commands run.,net/minecraft/tileentity/CommandBlockLogic
field_145783_c,id,2,,net/minecraft/entity/Entity
field_145801_f,thrower,2,,net/minecraft/entity/item/ItemEntity
field_145802_g,owner,2,,net/minecraft/entity/item/ItemEntity
field_145804_b,pickupDelay,2,,net/minecraft/entity/item/ItemEntity
field_145808_f,cancelDrop,2,,net/minecraft/entity/item/FallingBlockEntity
field_145809_g,hurtEntities,2,,net/minecraft/entity/item/FallingBlockEntity
field_145810_d,blockData,2,,net/minecraft/entity/item/FallingBlockEntity
field_145812_b,time,2,,net/minecraft/entity/item/FallingBlockEntity
field_145813_c,dropItem,2,,net/minecraft/entity/item/FallingBlockEntity
field_145815_h,fallDamageMax,2,,net/minecraft/entity/item/FallingBlockEntity
field_145816_i,fallDamageAmount,2,,net/minecraft/entity/item/FallingBlockEntity
field_145823_b,lastActivated,2,Cooldown before command block logic runs again in ticks,net/minecraft/entity/item/minecart/CommandBlockMinecartEntity
field_145824_a,commandBlock,2,,net/minecraft/entity/item/minecart/CommandBlockMinecartEntity
field_145846_f,remove,2,,net/minecraft/tileentity/TileEntity
field_145850_b,level,2,the instance of the world the tile entity is in.,net/minecraft/tileentity/TileEntity
field_145852_a,LOGGER,2,,net/minecraft/tileentity/TileEntity
field_145870_n,progressO,2,the progress in (de)extending,net/minecraft/tileentity/PistonTileEntity
field_145872_l,isSourcePiston,2,,net/minecraft/tileentity/PistonTileEntity
field_145873_m,progress,2,,net/minecraft/tileentity/PistonTileEntity
field_145875_k,extending,2,if this piston is extending or not,net/minecraft/tileentity/PistonTileEntity
field_145882_a,spawner,2,,net/minecraft/tileentity/MobSpawnerTileEntity
field_145900_a,items,2,,net/minecraft/tileentity/HopperTileEntity
field_145901_j,cooldownTime,2,,net/minecraft/tileentity/HopperTileEntity
field_145915_a,messages,2,,net/minecraft/tileentity/SignTileEntity
field_145916_j,isEditable,2,,net/minecraft/tileentity/SignTileEntity
field_145917_k,playerWhoMayEdit,2,,net/minecraft/tileentity/SignTileEntity
field_145941_a,SLOTS_FOR_UP,2,an array of the input slot indices,net/minecraft/tileentity/BrewingStandTileEntity
field_145943_l,lastPotionCount,2,an integer with each bit specifying whether that slot of the stand contains a potion,net/minecraft/tileentity/BrewingStandTileEntity
field_145944_m,ingredient,2,used to check if the current ingredient has been removed from the brewing stand during brewing,net/minecraft/tileentity/BrewingStandTileEntity
field_145945_j,items,2,The ItemStacks currently placed in the slots of the brewing stand,net/minecraft/tileentity/BrewingStandTileEntity
field_145946_k,brewTime,2,,net/minecraft/tileentity/BrewingStandTileEntity
field_145947_i,SLOTS_FOR_SIDES,2,an array of the output slot indices,net/minecraft/tileentity/BrewingStandTileEntity
field_145972_a,openness,2,,net/minecraft/tileentity/EnderChestTileEntity
field_145973_j,openCount,2,,net/minecraft/tileentity/EnderChestTileEntity
field_145974_k,tickInterval,2,"A counter that is incremented once each tick. Used to determine when to determine when to sync with the client; this happens every 80 ticks. However, the number of players is not re-counted.",net/minecraft/tileentity/EnderChestTileEntity
field_145975_i,oOpenness,2,The angle of the ender chest lid last tick,net/minecraft/tileentity/EnderChestTileEntity
field_145983_q,tickInterval,2,"A counter that is incremented once each tick. Used to determine when to recompute ; this is done every 200 ticks (but staggered between different chests). However, the new value isn't actually sent to clients when it is changed.",net/minecraft/tileentity/ChestTileEntity
field_145985_p,items,2,,net/minecraft/tileentity/ChestTileEntity
field_145986_n,oOpenness,2,The angle of the lid last tick,net/minecraft/tileentity/ChestTileEntity
field_145987_o,openCount,2,The number of players currently using this chest,net/minecraft/tileentity/ChestTileEntity
field_145989_m,openness,2,The current angle of the lid (between 0 and 1),net/minecraft/tileentity/ChestTileEntity
field_145994_a,commandBlock,2,,net/minecraft/tileentity/CommandBlockTileEntity
field_145997_a,output,2,,net/minecraft/tileentity/ComparatorTileEntity
field_146008_p,name,2,The custom name for this beacon. This was unused until 1.14; see https://bugs.mojang.com/browse/MC-124395,net/minecraft/tileentity/BeaconTileEntity
field_146009_a,BEACON_EFFECTS,2,List of effects that Beacons can apply,net/minecraft/tileentity/BeaconTileEntity
field_146010_n,secondaryPower,2,Secondary potion effect given by this beacon.,net/minecraft/tileentity/BeaconTileEntity
field_146012_l,levels,2,Level of this beacon's pyramid.,net/minecraft/tileentity/BeaconTileEntity
field_146013_m,primaryPower,2,Primary potion effect given by this beacon,net/minecraft/tileentity/BeaconTileEntity
field_146022_i,items,2,,net/minecraft/tileentity/DispenserTileEntity
field_146038_az,timeUntilHooked,2,,net/minecraft/entity/projectile/FishingBobberEntity
field_146040_ay,timeUntilLured,2,,net/minecraft/entity/projectile/FishingBobberEntity
field_146043_c,hookedIn,2,,net/minecraft/entity/projectile/FishingBobberEntity
field_146045_ax,nibble,2,,net/minecraft/entity/projectile/FishingBobberEntity
field_146049_av,life,2,,net/minecraft/entity/projectile/FishingBobberEntity
field_146054_aA,fishAngle,2,,net/minecraft/entity/projectile/FishingBobberEntity
field_146075_bs,breakDoorGoal,2,,net/minecraft/entity/monster/ZombieEntity
field_146076_bu,canBreakDoors,2,,net/minecraft/entity/monster/ZombieEntity
field_146084_br,loveCause,2,,net/minecraft/entity/passive/AnimalEntity
field_146087_bs,eatBlockGoal,2,,net/minecraft/entity/passive/SheepEntity
field_146106_i,gameProfile,2,The player's unique game profile,net/minecraft/entity/player/PlayerEntity
field_146108_bO,stats,0,,net/minecraft/client/entity/player/ClientPlayerEntity
field_146109_a,minecraft,0,,net/minecraft/client/gui/screen/inventory/CreativeCraftingListener
field_146133_q,option,0,,net/minecraft/client/gui/widget/OptionSlider
field_146137_o,option,0,,net/minecraft/client/gui/widget/button/OptionButton
field_146142_r,selected,0,,net/minecraft/client/gui/screen/inventory/BeaconScreen$Button
field_146211_a,font,0,,net/minecraft/client/gui/widget/TextFieldWidget
field_146212_n,canLoseFocus,0,if true the textbox can lose focus by clicking elsewhere on the screen,net/minecraft/client/gui/widget/TextFieldWidget
field_146214_l,frame,0,,net/minecraft/client/gui/widget/TextFieldWidget
field_146215_m,bordered,0,,net/minecraft/client/gui/widget/TextFieldWidget
field_146216_j,value,0,Has the current text being edited on the textbox.,net/minecraft/client/gui/widget/TextFieldWidget
field_146217_k,maxLength,0,,net/minecraft/client/gui/widget/TextFieldWidget
field_146221_u,textColorUneditable,0,,net/minecraft/client/gui/widget/TextFieldWidget
field_146222_t,textColor,0,,net/minecraft/client/gui/widget/TextFieldWidget
field_146223_s,highlightPos,0,"other selection position, maybe the same as the cursor",net/minecraft/client/gui/widget/TextFieldWidget
field_146224_r,cursorPos,0,,net/minecraft/client/gui/widget/TextFieldWidget
field_146225_q,displayPos,0,The current character index that should be used as start of the rendered text.,net/minecraft/client/gui/widget/TextFieldWidget
field_146226_p,isEditable,0,"If this value is true along with isFocused, keyTyped will process the keys.",net/minecraft/client/gui/widget/TextFieldWidget
field_146247_f,minecraft,0,,net/minecraft/client/gui/NewChatGui
field_146248_g,recentChat,0,A list of messages previously sent through the chat GUI,net/minecraft/client/gui/NewChatGui
field_146249_a,LOGGER,0,,net/minecraft/client/gui/NewChatGui
field_146250_j,chatScrollbarPos,0,,net/minecraft/client/gui/NewChatGui
field_146251_k,newMessageSinceScroll,0,,net/minecraft/client/gui/NewChatGui
field_146252_h,allMessages,0,Chat lines to be displayed in the chat box,net/minecraft/client/gui/NewChatGui
field_146253_i,trimmedMessages,0,List of the ChatLines currently drawn,net/minecraft/client/gui/NewChatGui
field_146301_f,serverData,0,,net/minecraft/client/gui/screen/ServerListScreen
field_146302_g,ipEdit,0,,net/minecraft/client/gui/screen/ServerListScreen
field_146304_f,reason,0,,net/minecraft/client/gui/screen/DisconnectedScreen
field_146307_h,parent,0,,net/minecraft/client/gui/screen/DisconnectedScreen
field_146308_f,ipEdit,0,,net/minecraft/client/gui/screen/AddServerScreen
field_146309_g,nameEdit,0,,net/minecraft/client/gui/screen/AddServerScreen
field_146311_h,serverData,0,,net/minecraft/client/gui/screen/AddServerScreen
field_146312_f,message,0,,net/minecraft/client/gui/screen/ErrorScreen
field_146321_E,commandsButton,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146323_G,gameModeHelp1,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146324_A,moreOptionsButton,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146328_H,gameModeHelp2,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146330_J,initName,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146332_f,lastScreen,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146333_g,nameEdit,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146336_i,resultFolder,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146337_w,hardCore,0,"Set to true when ""hardcore"" is the currently-selected gamemode",net/minecraft/client/gui/screen/CreateWorldScreen
field_146339_u,commandsChanged,0,"User explicitly clicked ""Allow Cheats"" at some point\nPrevents value changes due to changing game mode",net/minecraft/client/gui/screen/CreateWorldScreen
field_146340_t,commands,0,If cheats are allowed,net/minecraft/client/gui/screen/CreateWorldScreen
field_146343_z,modeButton,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146344_y,displayOptions,0,,net/minecraft/client/gui/screen/CreateWorldScreen
field_146347_a,delayTicker,0,The integer value containing the number of ticks that have passed since the player's death,net/minecraft/client/gui/screen/DeathScreen
field_146348_f,DEMO_BACKGROUND_LOCATION,0,,net/minecraft/client/gui/screen/DemoScreen
field_146352_g,yesButton,0,The text shown for the first button in GuiYesNo,net/minecraft/client/gui/screen/ConfirmScreen
field_146353_s,delayTicker,0,,net/minecraft/client/gui/screen/ConfirmScreen
field_146354_r,title2,0,,net/minecraft/client/gui/screen/ConfirmScreen
field_146356_h,noButton,0,The text shown for the second button in GuiYesNo,net/minecraft/client/gui/screen/ConfirmScreen
field_146360_u,showWarning,0,,net/minecraft/client/gui/screen/ConfirmOpenLinkScreen
field_146361_t,url,0,,net/minecraft/client/gui/screen/ConfirmOpenLinkScreen
field_146362_s,copyButton,0,Label for the Copy to Clipboard button.,net/minecraft/client/gui/screen/ConfirmOpenLinkScreen
field_146363_r,warning,0,Text to warn players from opening unsafe links.,net/minecraft/client/gui/screen/ConfirmOpenLinkScreen
field_146370_f,LOGGER,0,,net/minecraft/client/gui/screen/ConnectingScreen
field_146371_g,connection,0,,net/minecraft/client/gui/screen/ConnectingScreen
field_146372_a,UNIQUE_THREAD_ID,0,,net/minecraft/client/gui/screen/ConnectingScreen
field_146373_h,aborted,0,,net/minecraft/client/gui/screen/ConnectingScreen
field_146374_i,parent,0,,net/minecraft/client/gui/screen/ConnectingScreen
field_146385_f,parent,0,,net/minecraft/client/gui/screen/CreateFlatWorldScreen
field_146386_v,deleteLayerButton,0,The remove layer button,net/minecraft/client/gui/screen/CreateFlatWorldScreen
field_146387_g,generator,0,,net/minecraft/client/gui/screen/CreateFlatWorldScreen
field_146390_s,list,0,,net/minecraft/client/gui/screen/CreateFlatWorldScreen
field_146391_r,columnHeight,0,The text used to identify the height of a layer,net/minecraft/client/gui/screen/CreateFlatWorldScreen
field_146394_i,columnType,0,The text used to identify the material for a layer,net/minecraft/client/gui/screen/CreateFlatWorldScreen
field_146399_a,CHAT_OPTIONS,0,,net/minecraft/client/gui/screen/ChatOptionsScreen
field_146409_v,initial,0,is the text that appears when you press the chat key and the input box appears pre-filled,net/minecraft/client/gui/screen/ChatScreen
field_146410_g,historyBuffer,0,,net/minecraft/client/gui/screen/ChatScreen
field_146415_a,input,0,Chat entry field,net/minecraft/client/gui/screen/ChatScreen
field_146416_h,historyPos,0,"keeps position of which chat message you will select when you press up, (does not increase for duplicated messages sent immediately after each other)",net/minecraft/client/gui/screen/ChatScreen
field_146431_f,PRESETS,0,,net/minecraft/client/gui/screen/FlatPresetsScreen
